quality sub-characteristic	Practice	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
traceability	documentation	2	4	2	1	1	3	4	3	2	4	1	1	0
understandability	documentation	4	4	4	4	4	4	4	4	4	4	3	3	4
usability	documentation	3	4	2	3	4	3	4	3	3	4	3	2	4
debuggability	documentation	2	1	1	1	1	2	2	3	2	4	2	2	3
explainability	documentation	0	0	1	1	3	0	4	3	4	4	3	1	1
fairness	documentation	0	2	0	1	2	1	1	1	0	1	1	0	1
ownership	documentation	0	3	1	2	4	3	3	3	1	4	2	4	1
standards-compliance	documentation	1	1	0	3	2	0	3	4	2	4	3	4	1
vulnerability	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	ownership	1	0	0	1	3	0	1	3	4	3	1	1	1
responsiveness	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	ownership	2	2	0	1	0	4	2	2	3	3	0	1	1
cost-effectiveness	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	ownership	3	0	0	4	3	1	0	2	4	4	3	3	3
resilience	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	ownership	0	0	1	2	1	0	0	0	1	1	2	1	1
scalability	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	ownership	2	2	0	0	1	1	0	2	0	1	0	1	1
maintainability	ownership	3	2	1	3	3	4	3	3	3	1	2	4	3
modularity	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	ownership	0	2	0	0	0	3	3	0	3	0	1	1	1
repeatability	ownership	2	3	0	0	2	4	2	0	2	0	1	1	1
operability	ownership	0	3	0	1	0	2	2	0	3	1	2	1	2
monitoring	ownership	3	0	1	2	0	0	2	4	3	0	0	3	1
discoverability	ownership	2	2	0	0	1	4	2	0	3	1	3	3	0
readability	ownership	0	2	0	0	1	0	2	1	0	4	0	1	0
traceability	ownership	2	2	3	0	1	1	2	4	2	2	2	3	0
understandability	ownership	2	2	0	0	1	1	2	3	0	4	3	2	0
usability	ownership	0	2	0	1	1	0	1	3	1	4	1	1	0
debuggability	ownership	2	1	0	0	1	3	1	3	0	1	3	3	0
explainability	ownership	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	ownership	1	0	0	0	0	0	0	2	0	0	0	2	0
ownership	ownership	4	4	4	4	4	4	4	4	4	4	4	4	4
standards-compliance	ownership	4	2	0	3	1	4	3	3	3	3	1	4	0
vulnerability	ownership	3	0	0	2	3	2	2	4	2	0	1	4	2
accuracy	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	use of containarized environment	3	0	1	0	3	4	2	3	4	1	1	4	0
cost-effectiveness	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	use of containarized environment	0	2	0	0	3	1	1	3	3	3	3	3	3
resilience	use of containarized environment	0	2	0	0	3	1	0	3	3	3	3	4	3
adaptability	use of containarized environment	0	0	2	0	0	0	0	3	2	4	3	1	0
scalability	use of containarized environment	0	0	4	0	0	1	2	4	3	4	3	4	3
extensibility	use of containarized environment	0	2	3	3	0	2	1	1	2	1	0	3	0
maintainability	use of containarized environment	2	4	3	3	3	4	2	0	1	1	0	2	3
modularity	use of containarized environment	0	3	0	0	0	2	2	1	1	0	1	1	0
testability	use of containarized environment	0	3	2	0	1	4	2	3	1	1	3	4	0
deployability	use of containarized environment	4	3	4	1	3	2	3	3	4	4	3	4	3
repeatability	use of containarized environment	3	3	4	3	3	4	2	1	2	1	1	3	3
operability	use of containarized environment	0	3	3	0	4	0	2	3	4	3	0	1	3
monitoring	use of containarized environment	0	0	1	0	0	0	2	1	2	1	0	1	0
discoverability	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	use of containarized environment	0	1	0	0	0	0	0	0	1	0	0	0	0
traceability	use of containarized environment	0	0	2	0	3	1	2	1	2	1	1	4	0
understandability	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	use of containarized environment	2	0	2	0	3	1	2	0	1	1	3	1	0
debuggability	use of containarized environment	0	2	2	3	3	4	2	3	2	2	3	1	0
explainability	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	use of containarized environment	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	model performance monitoring	0	1	2	3	1	1	3	2	2	4	2	1	2
effectiveness	model performance monitoring	0	1	3	3	1	2	2	3	3	3	2	3	2
responsiveness	model performance monitoring	0	3	4	0	1	0	2	3	3	2	2	3	2
reusability	model performance monitoring	2	1	0	2	0	1	0	3	0	0	2	2	0
cost-effectiveness	model performance monitoring	0	2	4	2	0	1	0	3	2	3	2	2	2
efficiency	model performance monitoring	0	0	3	0	0	2	3	3	2	3	2	2	2
availability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	model performance monitoring	0	0	2	0	1	1	0	0	4	2	2	4	3
monitoring	model performance monitoring	4	4	4	4	4	4	3	4	4	4	4	4	4
discoverability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	model performance monitoring	3	0	0	0	1	0	0	3	0	0	0	3	0
usability	model performance monitoring	1	0	0	1	1	1	0	3	2	0	1	1	0
debuggability	model performance monitoring	2	4	1	1	1	4	3	0	1	4	3	4	2
explainability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	model performance monitoring	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	monitor feature parity	0	2	3	4	1	0	3	4	4	4	2	3	2
effectiveness	monitor feature parity	0	2	0	4	3	2	2	3	4	3	3	3	1
responsiveness	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	monitor feature parity	2	1	0	1	3	1	1	0	2	0	1	1	0
cost-effectiveness	monitor feature parity	0	1	0	2	3	0	0	2	2	0	1	1	1
efficiency	monitor feature parity	0	1	0	0	3	0	2	2	3	0	1	1	1
availability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	monitor feature parity	0	0	1	0	3	3	0	0	2	2	1	3	0
repeatability	monitor feature parity	0	2	0	0	3	0	0	0	1	0	0	3	0
operability	monitor feature parity	0	0	1	0	3	2	0	0	1	0	2	1	3
monitoring	monitor feature parity	4	4	4	4	2	4	3	3	4	4	3	3	4
discoverability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	monitor feature parity	3	1	1	0	1	1	0	0	4	0	0	1	0
usability	monitor feature parity	1	0	0	1	1	1	0	1	2	0	2	0	0
debuggability	monitor feature parity	2	3	2	1	1	4	2	3	4	4	3	2	3
explainability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	monitor feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	monitor feature drift	0	2	4	3	3	0	3	4	4	4	3	3	2
effectiveness	monitor feature drift	0	2	4	3	3	2	2	3	4	1	3	3	2
responsiveness	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	monitor feature drift	2	1	0	2	1	0	0	0	2	0	1	1	0
cost-effectiveness	monitor feature drift	0	1	0	2	0	0	0	2	0	3	0	1	1
efficiency	monitor feature drift	0	1	0	0	0	0	2	2	4	2	1	1	1
availability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	monitor feature drift	0	2	0	1	0	1	0	0	1	0	0	1	0
operability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	monitor feature drift	4	4	4	4	3	4	3	4	4	4	3	1	3
discoverability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	monitor feature drift	3	0	0	0	3	1	0	0	3	3	0	1	0
usability	monitor feature drift	1	1	0	2	3	1	0	1	0	0	2	1	0
debuggability	monitor feature drift	2	3	2	0	3	4	3	3	2	4	3	2	3
explainability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	monitor feature drift	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	alerting	0	1	2	2	0	0	1	3	1	2	2	1	2
effectiveness	alerting	0	1	0	2	1	1	1	3	2	3	2	2	2
responsiveness	alerting	0	3	4	2	1	1	1	3	2	1	2	3	2
reusability	alerting	0	1	0	0	0	1	0	0	2	0	1	1	0
cost-effectiveness	alerting	2	2	1	1	0	2	0	3	0	2	1	2	2
efficiency	alerting	1	2	0	2	0	2	1	3	3	1	2	2	2
availability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	alerting	0	0	1	0	1	4	0	0	3	0	3	2	2
repeatability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	alerting	0	0	1	1	1	4	1	0	3	0	2	4	2
monitoring	alerting	3	4	4	4	3	4	3	4	4	4	4	4	1
discoverability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	alerting	0	1	0	1	1	2	0	0	4	0	3	1	0
debuggability	alerting	2	4	0	1	3	4	3	3	2	3	3	4	0
explainability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	alerting	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	automate the ML lifecycle	3	4	2	1	0	3	1	3	4	4	4	2	1
efficiency	automate the ML lifecycle	4	1	3	3	0	3	1	3	1	3	3	2	0
availability	automate the ML lifecycle	2	2	0	1	1	4	2	3	3	2	2	2	3
resilience	automate the ML lifecycle	0	2	0	0	1	3	2	1	2	2	1	3	0
adaptability	automate the ML lifecycle	0	1	1	2	3	2	1	2	2	2	1	1	0
scalability	automate the ML lifecycle	0	1	2	1	1	4	0	3	2	3	3	3	0
extensibility	automate the ML lifecycle	0	4	2	3	3	0	1	3	1	2	1	3	1
maintainability	automate the ML lifecycle	2	4	4	4	3	2	1	2	4	4	3	3	1
modularity	automate the ML lifecycle	0	4	0	0	0	0	0	0	0	0	0	0	0
testability	automate the ML lifecycle	0	3	3	0	3	1	1	2	3	3	0	3	1
deployability	automate the ML lifecycle	3	4	4	4	3	4	4	4	1	4	3	4	3
repeatability	automate the ML lifecycle	4	4	4	3	3	4	4	4	4	4	4	3	3
operability	automate the ML lifecycle	0	3	3	0	3	4	2	4	3	2	3	1	3
monitoring	automate the ML lifecycle	0	2	1	1	3	3	1	2	4	3	1	1	0
discoverability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	automated tests	1	3	2	1	1	2	0	1	0	2	3	2	0
efficiency	automated tests	1	0	0	1	1	2	2	3	0	3	3	1	2
availability	automated tests	1	0	0	0	1	3	2	0	1	2	2	1	3
resilience	automated tests	2	0	0	1	1	3	3	0	4	2	2	3	4
adaptability	automated tests	0	0	3	0	3	1	3	3	3	2	2	1	2
scalability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	automated tests	0	3	4	2	3	4	3	2	3	2	2	0	0
maintainability	automated tests	4	3	4	3	3	4	4	3	4	4	3	2	3
modularity	automated tests	0	2	3	2	3	4	3	4	1	2	1	3	1
testability	automated tests	1	4	4	4	3	4	4	4	4	4	4	4	4
deployability	automated tests	0	0	3	0	3	4	3	3	3	3	3	4	3
repeatability	automated tests	3	2	3	0	3	4	1	1	3	4	1	3	1
operability	automated tests	0	2	3	0	3	1	2	3	3	2	2	2	3
monitoring	automated tests	0	2	1	0	3	1	0	0	4	2	1	3	1
discoverability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
